1987,154,0.5077735
1958,10616834,0.50767606
1885,8770936,0.5076157
1862,19192540,0.5075222
1963,10648540,0.507503
1909,10297549,0.50750023
1807,8761398,0.50736034
1975,11306566,0.507215
1811,10597029,0.50714326
1941,10434776,0.5070665
1934,10411135,0.50699025
1859,18746820,0.5069743
1919,10334477,0.5068324
1823,11425871,0.50672925
1800,8458568,0.5066646
1965,10652892,0.50665504
1999,637,0.50664777
1893,10285552,0.50662905
1824,11433248,0.5065859
1976,11315469,0.50653267
1806,8754877,0.50652796
1867,19257561,0.50652474
1930,10394159,0.50649667
1869,19266166,0.5064951
1953,10608761,0.50647604
1841,13025908,0.5064668
1904,10286454,0.50646585
1892,10200845,0.50644594
1983,143,0.5063751
1852,18006777,0.5063071
1851,13372991,0.5063046
1985,152,0.50626683
1866,19227044,0.50625694
1894,10285601,0.5062527
1840,12756145,0.50619334
1889,8931755,0.5061903
1921,10337135,0.5061137
1881,8273049,0.5060938
1907,10295343,0.5060752
1877,19334950,0.5060693
1886,8791803,0.50606734
1873,19313217,0.50601685
1960,10642029,0.50597364
1979,134,0.5059525
1974,11304504,0.5059516
1967,10800929,0.50591844
1837,12283317,0.5058562
1876,19333829,0.50583506
1944,10447393,0.5057258
1939,10425900,0.5057026
1853,18307457,0.5056848
1833,11984196,0.5056427
1961,10643284,0.5056331
1802,8511395,0.5056282
1839,12699381,0.5056245
1954,10608907,0.5056223
1849,13244597,0.5056165
1978,117,0.5056158
1814,10630143,0.5056077
1804,8530237,0.5056064
1915,10332666,0.50560397
1835,12017827,0.5056011
1843,13097241,0.50559807
1951,10531492,0.5055832
1923,10346860,0.5055756
1980,135,0.5055414
1962,10643426,0.50553405
1838,12684281,0.5055129
1905,10289568,0.5054974
1966,10700707,0.50548446
1882,8457500,0.50543565
1810,10345395,0.5054305
1917,10333281,0.50539845
1820,11314990,0.50538373
1884,8717495,0.50537485
1880,8222884,0.5053508
1888,8880787,0.5052947
1998,622,0.50528485
1928,10384045,0.5052721
1815,10641511,0.50526536
1997,616,0.50524324
1908,10297380,0.50520474
1932,10408086,0.50517464
1809,8930198,0.5051503
1925,10349761,0.505125
1931,10407484,0.5051182
1992,336,0.5050759
1827,11534912,0.50507444
1871,19290586,0.5050736
1816,10700156,0.5050681
1964,10650306,0.50505835
1933,10411020,0.5050527
1945,10452227,0.5050451
1937,10417772,0.5050222
1895,10285609,0.50500727
1913,10327642,0.5049817
1969,11049712,0.5049765
1906,10289614,0.50496143
1870,19272529,0.5049256
1879,7637904,0.50491875
1957,10611769,0.50489116
1897,10285677,0.5048887
1812,10616795,0.50487864
1926,10363409,0.50483495
1845,13162681,0.50483394
1948,10466680,0.5048334
1924,10347427,0.50478756
1956,10611070,0.5047783
1863,19192689,0.5047779
1874,19314475,0.50476545
1929,10392617,0.50475895
1972,11303915,0.5047426
1959,10626174,0.50474215
1973,11303920,0.5047025
1854,18423803,0.50463367
1982,140,0.50463283
1920,10336772,0.50463057
1914,10332057,0.5045598
1903,10285896,0.5045204
1916,10332806,0.5044339
1942,10439589,0.5044007
1971,11287816,0.50432223
1949,10484220,0.5042734
1984,147,0.50424594
1896,10285664,0.5042419
1825,11457786,0.5042183
1922,10345106,0.5042123
1856,18620530,0.504189
1829,11646089,0.5041513
1935,10413290,0.50414604
1830,11646321,0.50413686
1936,10416317,0.50412464
1844,13151508,0.50410956
1952,10596916,0.5041041
1826,11530082,0.50409967
1912,10298555,0.5040631
1836,12107507,0.50401497
1872,19305083,0.5040069
1834,12017792,0.504001
1901,10285814,0.5039539
1940,10433777,0.5038937
1821,11324746,0.5038545
1850,13276103,0.5038079
1828,11610456,0.5037983
1994,338,0.5037783
1950,10494548,0.5037641
1891,10153331,0.50376123
1900,10285748,0.5037482
1989,234,0.5036898
1968,10975570,0.5036774
1981,136,0.50367415
1832,11745705,0.503635
1995,339,0.503635
1805,8752560,0.5035912
1813,10629839,0.50358486
1883,8618604,0.5035501
1818,11303914,0.50347245
1819,11303918,0.5034666
1875,19322997,0.50345814
1990,247,0.5033936
1865,19212817,0.5033845
1991,286,0.50336736
1898,10285694,0.503359
1887,8851151,0.5033417
1801,8480519,0.503333
1803,8511459,0.5033109
1858,18657287,0.50329906
1977,112,0.5032812
1947,10465649,0.5032739
1946,10464364,0.50326896
1855,10379986,0.5032442
1860,19136033,0.50319904
1918,10334420,0.5031915
1847,13244249,0.5031904
1890,10040518,0.50317895
1822,11384780,0.50315195
1857,18629173,0.5031408
1808,8802081,0.50313336
1938,10417930,0.5030887
1817,11292079,0.5030505
1955,10610858,0.50303334
1902,10285832,0.5030066
1864,19203446,0.50295395
1861,19156565,0.50286835
1970,11282501,0.5028607
1848,13244496,0.502773
1868,19259544,0.50275564
1831,11742166,0.50275356
1988,155,0.5027441
1943,10445381,0.50273126
1842,13040334,0.502642
1986,153,0.50249916
1899,10285721,0.50241125
1996,585,0.5023507
1878,10642191,0.5022967
1846,13162978,0.5020857
1911,10297612,0.5018242
1927,10376670,0.5016219
1910,10297571,0.50157183
1993,337,0.5014553
